name,url,headquarters,founded,website,employees
BlueDot,https://en.wikipedia.org/wiki/BlueDot,"Toronto, Canada",2009,https://bluedot.global,
Cohere,https://en.wikipedia.org/wiki/Cohere,"Toronto, Ontario, Canada",2019,https://cohere.com/,450.0
Element AI,https://en.wikipedia.org/wiki/Element_AI,"Montreal, Quebec, Canada",2016,https://www.elementai.com/,
Maluuba,https://en.wikipedia.org/wiki/Maluuba,"Montreal, Quebec, Canada",2011,http://www.maluuba.com/,
Anysphere,https://en.wikipedia.org/wiki/Anysphere,"San Francisco, California, United States",2022,,150.0
Anthropic,https://en.wikipedia.org/wiki/Anthropic,"San Francisco, California, U.S.",2021,https://www.anthropic.com/,2.0
Caper AI,https://en.wikipedia.org/wiki/Caper_AI,"New York, US",2016,https://www.caper.ai,
Cerebras,https://en.wikipedia.org/wiki/Cerebras,"Sunnyvale, California, US",2015,http://cerebras.ai,401.0
Cerence,https://en.wikipedia.org/wiki/Cerence,"Burlington, Massachusetts, U.S.",2019,http://cerence.com,1.0
Cognition AI,https://en.wikipedia.org/wiki/Cognition_AI,"San Francisco, California, United States",2023,https://cognition.ai/,200.0
Colloquis,https://en.wikipedia.org/wiki/Colloquis,,2000,,
Conversable,https://en.wikipedia.org/wiki/Conversable,"Suite 318, Austin, United States",2015,http://conversable.com/,39.0
CoreWeave,https://en.wikipedia.org/wiki/CoreWeave,"Livingston, New Jersey, United States",2017,https://www.coreweave.com/,2.0
Covariant,https://en.wikipedia.org/wiki/Covariant_(company),"Emeryville, California",2017,https://covariant.ai/,
EleutherAI,https://en.wikipedia.org/wiki/EleutherAI,,2020,,
Glean Technologies,https://en.wikipedia.org/wiki/Glean_Technologies,"Palo Alto, California",2019,https://glean.com/,500.0
Google AI,https://en.wikipedia.org/wiki/Google_AI,,2010,https://ai.google/,
Groq,https://en.wikipedia.org/wiki/Groq,"Mountain View, California, US",2016,https://groq.com/,250.0
HeyGen,https://en.wikipedia.org/wiki/HeyGen,"Los Angeles, California, U.S.",2020,https://avatarbox.ru//,
Hugging Face,https://en.wikipedia.org/wiki/Hugging_Face,"Manhattan, New York City",2016,https://huggingface.co/,250.0
Inflection AI,https://en.wikipedia.org/wiki/Inflection_AI,"Palo Alto, California, U.S.",2022,https://inflection.ai/,70.0
Mercor,https://en.wikipedia.org/wiki/Mercor,"San Francisco, California, United States",2023,http://Mercor.com,300.0
Meta AI,https://en.wikipedia.org/wiki/Meta_AI,"New York City, New York, U.S.",2015,https://ai.meta.com/,
Microsoft AI,https://en.wikipedia.org/wiki/Microsoft_AI,"Redmond, Washington, United States",2024,https://microsoft.ai/,10.0
"Midjourney, Inc.",https://en.wikipedia.org/wiki/Midjourney,,,https://www.midjourney.com/,
