name,url,headquarters,founded,website,employees,lat,lon,country
BlueDot,https://en.wikipedia.org/wiki/BlueDot,"Toronto, Canada",2009,https://bluedot.global,,43.6534817,-79.3839347,Canada
Cohere,https://en.wikipedia.org/wiki/Cohere,"Toronto, Ontario, Canada",2019,https://cohere.com/,450.0,43.6534817,-79.3839347,Canada
Element AI,https://en.wikipedia.org/wiki/Element_AI,"Montreal, Quebec, Canada",2016,https://www.elementai.com/,,45.5031824,-73.5698065,Canada
Maluuba,https://en.wikipedia.org/wiki/Maluuba,"Montreal, Quebec, Canada",2011,http://www.maluuba.com/,,45.5031824,-73.5698065,Canada
Anysphere,https://en.wikipedia.org/wiki/Anysphere,"San Francisco, California, United States",2022,,150.0,37.7879363,-122.4075201,United States
Anthropic,https://en.wikipedia.org/wiki/Anthropic,"San Francisco, California, U.S.",2021,https://www.anthropic.com/,2.0,37.7879363,-122.4075201,United States
Caper AI,https://en.wikipedia.org/wiki/Caper_AI,"New York, US",2016,https://www.caper.ai,,40.7127281,-74.0060152,United States
Cerebras,https://en.wikipedia.org/wiki/Cerebras,"Sunnyvale, California, US",2015,http://cerebras.ai,401.0,37.3688301,-122.036349,United States
Cerence,https://en.wikipedia.org/wiki/Cerence,"Burlington, Massachusetts, U.S.",2019,http://cerence.com,1.0,42.5048167,-71.1956111,United States
Cognition AI,https://en.wikipedia.org/wiki/Cognition_AI,"San Francisco, California, United States",2023,https://cognition.ai/,200.0,37.7879363,-122.4075201,United States
Colloquis,https://en.wikipedia.org/wiki/Colloquis,,2000,,,,,Unknown
Conversable,https://en.wikipedia.org/wiki/Conversable,"Suite 318, Austin, United States",2015,http://conversable.com/,39.0,30.3251945,-97.7085989,United States
CoreWeave,https://en.wikipedia.org/wiki/CoreWeave,"Livingston, New Jersey, United States",2017,https://www.coreweave.com/,2.0,40.7959335,-74.3148713,United States
Covariant,https://en.wikipedia.org/wiki/Covariant_(company),"Emeryville, California",2017,https://covariant.ai/,,37.8314089,-122.2865266,United States
EleutherAI,https://en.wikipedia.org/wiki/EleutherAI,,2020,,,,,Unknown
Glean Technologies,https://en.wikipedia.org/wiki/Glean_Technologies,"Palo Alto, California",2019,https://glean.com/,500.0,37.4443293,-122.1598465,United States
Google AI,https://en.wikipedia.org/wiki/Google_AI,,2010,https://ai.google/,,,,Unknown
Groq,https://en.wikipedia.org/wiki/Groq,"Mountain View, California, US",2016,https://groq.com/,250.0,37.3893889,-122.0832101,United States
HeyGen,https://en.wikipedia.org/wiki/HeyGen,"Los Angeles, California, U.S.",2020,https://avatarbox.ru//,,34.0536909,-118.242766,United States
Hugging Face,https://en.wikipedia.org/wiki/Hugging_Face,"Manhattan, New York City",2016,https://huggingface.co/,250.0,40.7579554,-73.9855319,United States
Inflection AI,https://en.wikipedia.org/wiki/Inflection_AI,"Palo Alto, California, U.S.",2022,https://inflection.ai/,70.0,37.4443293,-122.1598465,United States
Mercor,https://en.wikipedia.org/wiki/Mercor,"San Francisco, California, United States",2023,http://Mercor.com,300.0,37.7879363,-122.4075201,United States
Meta AI,https://en.wikipedia.org/wiki/Meta_AI,"New York City, New York, U.S.",2015,https://ai.meta.com/,,40.7127281,-74.0060152,United States
Microsoft AI,https://en.wikipedia.org/wiki/Microsoft_AI,"Redmond, Washington, United States",2024,https://microsoft.ai/,10.0,47.6694141,-122.1238767,United States
"Midjourney, Inc.",https://en.wikipedia.org/wiki/Midjourney,,,https://www.midjourney.com/,,,,Unknown
